Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,698.571197,702.491176,690.581202,691.481171,4770100,345.39519
2007-12-28,704.9312,707.951211,696.541213,702.531181,5144500,350.914676
2007-12-27,707.071214,716.001244,700.74123,700.74123,5906900,350.020594
2007-12-26,698.991223,713.221204,698.211209,710.841219,5078900,355.065544
2007-12-24,694.991171,700.731183,693.06117,700.731183,3268900,350.015576
2007-12-21,697.88118,699.261213,693.241164,696.691187,10804200,347.997596
2007-12-20,685.831157,691.001167,680.611154,689.691158,8877500,344.501078
2007-12-19,674.211146,679.501173,669.001129,677.371145,8875300,338.347225
2007-12-18,674.161154,676.711147,652.501132,673.351182,14387000,336.339252
2007-12-17,688.00119,695.421184,663.671158,669.231176,11013000,334.281307
2007-12-14,687.5112,699.701212,687.261182,689.96121,7374400,344.635969
2007-12-13,696.311166,697.621175,681.211174,694.051197,10119300,346.67892
2007-12-12,714.001218,714.3212,688.501166,699.35121,12364300,349.326279
2007-12-11,719.941256,720.991261,698.78121,699.201175,12324100,349.251336
2007-12-10,715.991258,724.801271,714.001218,718.421234,7741200,358.851765
2007-12-07,714.991245,718.001208,710.501204,714.871229,7733000,357.078536
2007-12-06,697.801169,716.561258,697.011169,715.261235,9854700,357.273344
2007-12-05,692.731202,698.931184,687.501153,698.511219,8450700,348.906703
2007-12-04,678.31118,692.00118,677.121187,684.16116,8495200,341.738841
2007-12-03,691.011215,695.001219,681.14115,681.531156,8682500,340.425153
2007-11-30,711.001241,711.061218,682.111143,693.001193,15850000,346.154442
2007-11-29,690.75121,702.791186,687.771205,697.001183,12462500,348.152439
2007-11-28,682.111143,694.301216,672.141156,692.261185,15892300,345.784808
2007-11-27,674.801179,676.43117,650.261135,673.571181,17875700,336.449142
2007-11-26,680.201175,693.401186,665.001139,666.001152,13631000,332.667908
2007-11-23,670.001142,678.281161,668.111147,676.701161,5497800,338.012568
2007-11-21,643.771129,669.971123,642.081099,660.521145,14079500,329.930642
2007-11-20,636.481076,659.101106,632.871093,648.541086,19754800,323.946596
2007-11-19,629.591078,636.7711,618.501062,625.851092,11096100,312.612933
2007-11-16,633.941069,635.491111,616.021033,633.631073,18153300,316.499038
2007-11-15,638.571099,647.501129,624.001041,629.651055,13987500,314.511017
2007-11-14,673.281157,675.491135,636.271063,641.681106,16249900,320.520033
2007-11-13,644.99108,660.921138,632.071107,660.551103,16954000,329.945606
2007-11-12,657.741106,669.931179,626.21108,632.071107,20531200,315.719834
2007-11-09,675.781159,681.881158,661.211162,663.971168,22861400,331.65393
2007-11-08,734.60125,734.891274,677.181165,693.841184,33148100,346.574018
2007-11-07,741.131261,747.241307,723.141261,732.94124,16608900,366.104515
2007-11-06,737.561283,741.791259,725.001237,741.791259,16935700,370.525104
2007-11-05,706.991203,730.231225,706.071201,725.651248,17833900,362.463161
2007-11-02,710.51119,713.581253,697.341199,711.251198,11726700,355.270329
2007-11-01,702.791186,713.721241,701.781187,703.211212,13103200,351.254352
2007-10-31,700.691177,707.001189,696.041176,707.001189,13805000,353.147447
2007-10-30,677.511133,699.911225,677.511133,694.771172,13852900,347.038548
2007-10-29,677.771137,680.001148,672.091165,679.231182,6155500,339.276315
2007-10-26,674.031152,676.541139,668.061155,674.601152,6732900,336.963613
2007-10-25,678.681153,678.971177,663.551142,668.51114,11634300,333.921648
2007-10-24,672.711157,677.471189,659.561138,675.821164,14863800,337.573009
2007-10-23,661.251106,677.601191,660.001136,675.771173,13638200,337.548038
2007-10-22,638.671082,655.001133,636.281111,650.751124,13378700,325.050512
2007-10-19,654.561135,658.4911,643.231087,644.711103,31696200,322.033518
2007-10-18,635.4111,641.37111,628.501068,639.621103,24670400,319.491061
2007-10-17,630.451102,634.001108,621.591036,633.481099,12106100,316.424125
2007-10-16,618.491076,625.921056,611.991023,616.00106,12095700,307.692837
2007-10-15,638.471116,639.861074,615.551076,620.111081,13939500,309.745795
2007-10-12,623.981069,638.401091,618.241057,637.391092,13698500,318.377169
2007-10-11,633.641059,641.411116,609.001032,622.001076,23686300,310.689848
2007-10-10,621.361051,625.681084,616.801046,625.391061,10811500,312.383147
2007-10-09,615.111078,623.781042,608.391026,615.181041,17601200,307.283237
2007-10-08,595.001035,610.261049,593.951031,609.621024,10093600,304.506006
2007-10-05,587.111024,596.001048,587.01098,594.051014,10175300,296.728778
2007-10-04,585.091026,585.091026,577.060965,579.030972,5995700,289.22626
2007-10-03,586.250999,588.991033,580.361014,584.020989,7788000,291.718776
2007-10-02,583.381024,596.81102,580.011012,584.391023,14187900,291.903608
2007-10-01,569.971001,584.351018,569.610952,582.551019,9457800,290.984525
2007-09-28,567.000982,569.550975,564.120959,567.270972,5298700,283.352134
2007-09-27,571.730994,571.74098,565.78097,567.500957,4128000,283.467012
2007-09-26,570.400952,571.790972,563.810963,568.160955,6717100,283.796681
2007-09-25,564.000943,569.560961,562.860942,569.000946,5481600,284.216257
2007-09-24,561.000966,571.461003,560.000953,568.020967,10633600,283.726757
2007-09-21,556.340978,560.790953,552.830978,560.100936,16083400,279.770697
2007-09-20,547.000908,556.800949,546.030915,552.830978,11091300,276.13935
2007-09-19,539.270918,549.450918,538.86094,546.850934,11095100,273.152315
2007-09-18,526.520892,537.250921,524.270909,535.270928,8462900,267.368096
2007-09-17,526.530878,529.280898,524.070882,525.30088,4411300,262.388052
2007-09-14,523.200872,530.270925,522.220892,528.750903,5550400,264.11134
