Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,0.10,0.10,0.10,0.10,000,0.10
2006-12-28,0.10,0.10,0.10,0.10,000,0.10
2006-12-27,0.10,0.10,0.10,0.10,000,0.10
2006-12-26,0.10,0.10,0.10,0.10,000,0.10
2006-12-25,0.10,0.10,0.10,0.10,000,0.10
2006-12-22,0.10,0.10,0.10,0.10,000,0.10
2006-12-21,0.10,0.10,0.10,0.10,4500,0.10
2006-12-20,0.10,0.10,0.10,0.10,5000,0.10
2006-12-19,0.08,0.08,0.08,0.08,4800,0.08
2006-12-18,0.08,0.08,0.08,0.08,8000,0.08
2006-12-15,0.10,0.10,0.10,0.10,000,0.10
2006-12-14,0.10,0.10,0.10,0.10,1000,0.10
2006-12-13,0.10,0.10,0.10,0.10,9200,0.10
2006-12-12,0.10,0.10,0.10,0.10,2000,0.10
2006-12-11,0.10,0.10,0.10,0.10,26900,0.10
2006-12-08,0.10,0.10,0.10,0.10,000,0.10
2006-12-07,0.10,0.10,0.10,0.10,8000,0.10
2006-12-06,0.10,0.10,0.10,0.10,000,0.10
2006-12-05,0.10,0.10,0.10,0.10,000,0.10
2006-12-04,0.10,0.10,0.10,0.10,000,0.10
2006-12-01,0.10,0.10,0.10,0.10,000,0.10
2006-11-30,0.10,0.10,0.10,0.10,000,0.10
2006-11-29,0.10,0.10,0.10,0.10,000,0.10
2006-11-28,0.10,0.10,0.10,0.10,7900,0.10
2006-11-27,0.10,0.10,0.10,0.10,600,0.10
2006-11-24,0.11,0.11,0.11,0.11,000,0.11
2006-11-23,0.11,0.11,0.11,0.11,20000,0.11
2006-11-22,0.14,0.14,0.14,0.14,000,0.14
2006-11-21,0.14,0.14,0.14,0.14,000,0.14
2006-11-20,0.14,0.14,0.14,0.14,000,0.14
2006-11-17,0.14,0.14,0.135,0.14,25300,0.14
2006-11-16,0.11,0.11,0.11,0.11,000,0.11
2006-11-15,0.11,0.11,0.11,0.11,000,0.11
2006-11-14,0.11,0.11,0.11,0.11,000,0.11
2006-11-13,0.11,0.11,0.11,0.11,000,0.11
2006-11-10,0.11,0.11,0.11,0.11,000,0.11
2006-11-09,0.11,0.11,0.11,0.11,000,0.11
2006-11-08,0.11,0.11,0.11,0.11,000,0.11
2006-11-07,0.11,0.11,0.11,0.11,8600,0.11
2006-11-06,0.14,0.14,0.11,0.11,8600,0.11
2006-11-03,0.12,0.12,0.12,0.12,2000,0.12
2006-11-02,0.12,0.12,0.12,0.12,8000,0.12
2006-11-01,0.09,0.09,0.09,0.09,000,0.09
2006-10-31,0.09,0.09,0.09,0.09,000,0.09
2006-10-30,0.09,0.09,0.09,0.09,000,0.09
2006-10-27,0.09,0.09,0.09,0.09,000,0.09
2006-10-26,0.09,0.09,0.09,0.09,000,0.09
2006-10-25,0.09,0.09,0.09,0.09,000,0.09
2006-10-24,0.09,0.09,0.09,0.09,000,0.09
