Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,38.599998,38.700001,38.119999,38.389999,5529800,25.977789
2007-12-28,39.18,39.240002,38.669998,38.740002,8625000,26.214629
2007-12-27,39.369999,39.389999,38.52,38.700001,10123400,26.187561
2007-12-26,38.400002,38.830002,38.00,38.82,5478400,26.268762
2007-12-24,38.91,38.939999,38.389999,38.50,3307700,26.052225
2007-12-21,38.48,38.970001,38.400002,38.529999,13982100,26.072524
2007-12-20,36.970001,37.91,36.970001,37.650002,15175700,25.477047
2007-12-19,36.470001,36.919998,36.23,36.52,10181000,24.712396
2007-12-18,36.32,36.650002,35.400002,36.48,12686600,24.685328
2007-12-17,36.900002,36.98,36.119999,36.23,12616500,24.516158
2007-12-14,37.75,38.310001,37.630001,37.779999,8693400,25.565013
2007-12-13,38.860001,39.139999,38.119999,38.810001,9606100,26.261997
2007-12-12,40.080002,40.189999,39.369999,39.549999,10295200,26.762739
2007-12-11,40.27,40.330002,38.77,39.009998,8386200,26.397331
2007-12-10,39.98,40.290001,39.799999,39.98,5781400,27.053713
2007-12-07,39.450001,39.66,39.00,39.490002,9559500,26.72214
2007-12-06,39.080002,39.119999,38.34,39.00,14095700,26.390565
2007-12-05,39.09,39.73,38.700001,38.91,13952900,26.329664
2007-12-04,39.110001,39.150002,38.560001,38.919998,17851300,26.33643
2007-12-03,40.009998,40.59,39.950001,40.240002,11617200,27.229651
2007-11-30,40.380001,40.490002,39.16,39.330002,10680400,26.613871
2007-11-29,39.57,40.240002,39.509998,40.02,8904700,27.08078
2007-11-28,39.02,40.299999,39.02,40.060001,12817400,27.107848
2007-11-27,37.959999,38.18,37.419998,38.18,11808600,25.835687
2007-11-26,39.279999,39.450001,38.16,38.18,8786700,25.835687
2007-11-23,38.380001,38.799999,38.220001,38.66,3907200,26.160494
2007-11-21,38.330002,38.419998,37.07,37.709999,11274900,25.517646
2007-11-20,39.599998,39.599998,37.950001,38.860001,12964200,26.29583
2007-11-19,38.860001,38.959999,38.029999,38.240002,7750500,25.876289
2007-11-16,38.419998,38.549999,37.549999,38.360001,12682000,25.95749
2007-11-15,38.07,38.610001,37.759998,38.07,11152900,25.761252
2007-11-14,39.490002,39.540001,38.349998,38.48,12451600,26.038691
2007-11-13,37.900002,38.91,37.73,38.799999,15046800,26.255229
2007-11-12,37.799999,37.970001,36.639999,36.869999,17910300,24.949234
2007-11-09,39.040001,39.099998,37.830002,37.939999,19468000,25.673282
2007-11-08,40.75,40.799999,38.610001,40.080002,17205100,27.121382
2007-11-07,41.700001,42.220001,40.82,40.93,13672700,27.69656
2007-11-06,40.59,41.189999,40.50,41.099998,13254300,27.811595
2007-11-05,39.369999,39.709999,39.18,39.490002,11632100,26.72214
2007-11-02,39.209999,39.799999,38.950001,39.709999,10823800,26.871008
2007-11-01,39.75,39.75,38.880001,38.970001,9660800,26.370266
2007-10-31,39.119999,39.849998,39.060001,39.720001,9278400,26.877777
2007-10-30,39.369999,39.700001,39.220001,39.439999,11178200,26.688304
2007-10-29,39.290001,39.919998,39.060001,39.91,11554900,27.006345
2007-10-26,39.900002,39.93,39.349998,39.57,13449500,26.776273
2007-10-25,38.779999,39.169998,38.650002,39.099998,10693600,26.458232
2007-10-24,38.720001,38.860001,37.880001,38.860001,14707400,26.29583
2007-10-23,38.080002,38.490002,37.82,38.470001,14013900,26.031925
2007-10-22,36.779999,37.330002,36.669998,37.310001,9602800,25.246975
2007-10-19,37.59,37.599998,36.66,36.779999,16623500,24.888332
2007-10-18,38.049999,38.119999,37.349998,37.639999,36519100,25.470278
2007-10-17,35.889999,36.709999,35.599998,36.529999,18206200,24.719162
2007-10-16,36.110001,36.369999,35.080002,35.310001,25951700,23.893613
2007-10-15,37.009998,37.029999,36.200001,36.439999,9138800,24.658261
2007-10-12,37.029999,37.32,36.939999,37.299999,14365100,25.240207
2007-10-11,38.02,38.490002,37.419998,37.50,16876900,25.375544
2007-10-10,36.529999,36.889999,36.389999,36.720001,12552300,24.847733
2007-10-09,35.860001,36.240002,35.639999,36.200001,17325400,24.495859
2007-10-08,36.029999,36.259998,35.91,36.240002,6242500,24.522926
2007-10-05,36.740002,36.860001,36.389999,36.529999,15464300,24.719162
2007-10-04,35.950001,36.439999,35.650002,36.34,13042700,24.590593
2007-10-03,36.830002,36.990002,36.540001,36.650002,10991500,24.800366
2007-10-02,37.200001,37.490002,36.939999,37.279999,12146000,25.226673
2007-10-01,36.740002,38.23,36.740002,37.959999,22854000,25.686816
2007-09-28,38.009998,38.040001,37.619999,37.93,11621900,25.666517
2007-09-27,37.950001,38.060001,37.66,37.939999,7891800,25.673282
2007-09-26,37.560001,37.790001,37.27,37.43,12055400,25.328176
2007-09-25,36.450001,36.970001,36.360001,36.880001,9004600,24.956002
2007-09-24,36.75,36.860001,36.400002,36.560001,8339000,24.739464
2007-09-21,37.060001,37.16,36.720001,37.049999,8860300,25.071036
2007-09-20,36.740002,37.200001,36.549999,36.790001,10299500,24.895101
2007-09-19,36.34,37.049999,36.330002,36.580002,19913200,24.752998
2007-09-18,34.599998,36.02,34.389999,35.939999,15181200,24.31992
2007-09-17,34.419998,34.52,33.919998,34.110001,10834600,23.081595
2007-09-14,33.799999,33.849998,33.50,33.630001,7701600,22.756788
2007-09-13,33.990002,34.00,33.73,33.880001,9534900,22.925958
2007-09-12,33.84,33.950001,33.59,33.669998,13901600,22.783853
2007-09-11,34.57,34.799999,34.43,34.59,13974900,23.406401
2007-09-10,34.619999,34.709999,33.700001,34.049999,9864600,23.040993
2007-09-07,34.029999,34.240002,33.619999,33.939999,8572000,22.966558
2007-09-06,33.84,34.360001,33.700001,34.209999,16431600,23.149262
2007-09-05,33.580002,33.599998,32.959999,33.369999,10672300,22.58085
2007-09-04,32.860001,33.77,32.82,33.599998,7781400,22.736486
2007-08-31,33.130001,33.139999,32.779999,32.880001,6766800,22.249277
2007-08-30,32.509998,32.849998,32.150002,32.470001,19029200,21.971838
2007-08-29,31.469999,32.18,31.43,32.18,14009100,21.7756
2007-08-28,30.629999,30.73,29.940001,30.01,5685900,20.307202
2007-08-27,30.879999,31.030001,30.74,30.790001,5544600,20.835014
2007-08-24,30.50,30.969999,30.450001,30.969999,6483400,20.956815
