Date,Open,High,Low,Close,Volume,Adj Close
2002-12-31,14.00,14.36,13.95,14.329999,50181600,0.932319
2002-12-30,14.08,14.15,13.84,14.07,38760400,0.915403
2002-12-27,14.31,14.38,14.01,14.06,20008800,0.914752
2002-12-26,14.42,14.81,14.28,14.400001,21355600,0.936873
2002-12-24,14.44,14.470001,14.30,14.36,9835000,0.934271
2002-12-23,14.16,14.549999,14.119999,14.49,31456600,0.942729
2002-12-20,14.29,14.559999,13.78,14.14,79524200,0.919957
2002-12-19,14.53,14.919999,14.100001,14.20,86879800,0.923861
2002-12-18,14.80,14.86,14.50,14.57,37675400,0.947933
2002-12-17,14.849999,15.190001,14.66,15.08,55665400,0.981114
2002-12-16,14.81,15.10,14.610001,14.849999,62906200,0.96615
2002-12-13,15.139999,15.15,14.65,14.79,41195000,0.962247
2002-12-12,15.51,15.55,15.01,15.190001,37335200,0.988271
2002-12-11,15.30,15.490001,15.08,15.490001,63375200,1.007789
2002-12-10,14.75,15.45,14.73,15.279999,77152600,0.994126
2002-12-09,14.94,14.95,14.67,14.75,59021200,0.959644
2002-12-06,14.65,15.190001,14.52,14.95,61339600,0.972656
2002-12-05,15.03,15.08,14.53,14.629999,60849600,0.951837
2002-12-04,15.18,15.190001,14.50,14.970001,81439400,0.973958
2002-12-03,15.200001,15.340001,15.10,15.16,56967400,0.986319
2002-12-02,15.90,16.10,15.01,15.18,99685600,0.98762
2002-11-29,15.789999,15.88,15.410001,15.499999,35858200,1.00844
2002-11-27,15.60,15.859999,15.45,15.719999,71699600,1.022753
2002-11-26,15.850001,15.90,15.270001,15.410001,60065600,1.002584
2002-11-25,16.03,16.140001,15.710001,15.97,49856800,1.039018
2002-11-22,16.089999,16.299999,15.90,16.009999,56964600,1.041621
2002-11-21,15.90,16.440001,15.75,16.35,104620600,1.063741
2002-11-20,15.30,15.700001,15.25,15.53,52185000,1.010392
2002-11-19,15.55,15.75,15.01,15.270001,52738000,0.993476
2002-11-18,16.19,16.20,15.52,15.649999,41144600,1.018199
2002-11-15,16.229999,16.24,15.76,15.95,40248600,1.037717
2002-11-14,15.90,16.41,15.780001,16.299999,35428400,1.060488
2002-11-13,15.499999,16.070001,15.279999,15.59,57934800,1.014295
2002-11-12,15.32,16.04,15.279999,15.640001,55948200,1.017548
2002-11-11,15.74,15.89,15.120001,15.16,38243800,0.986319
2002-11-08,16.009999,16.20,15.52,15.84,47516000,1.03056
2002-11-07,16.940001,17.099999,15.81,16.000001,84044800,1.04097
2002-11-06,17.08,17.319999,16.70,17.22,54097400,1.120344
2002-11-05,16.75,16.959999,16.35,16.90,52673600,1.099525
2002-11-04,16.50,17.380001,16.35,16.889999,94204600,1.098874
2002-11-01,15.939999,16.50,15.89,16.360001,47457200,1.064392
2002-10-31,15.99,16.440001,15.920001,16.070001,73959200,1.045524
2002-10-30,15.490001,16.369999,15.48,15.98,67669000,1.039669
2002-10-29,15.569999,15.88,14.96,15.44,64794800,1.004536
2002-10-28,15.55,15.95,15.25,15.61,87325000,1.015596
2002-10-25,14.690001,15.45,14.59,15.420001,69767600,1.003235
2002-10-24,15.02,15.209999,14.549999,14.690001,43687000,0.955741
2002-10-23,14.629999,14.980001,14.50,14.88,52259200,0.968102
2002-10-22,14.470001,14.88,14.259999,14.699999,54537000,0.956391
2002-10-21,14.259999,14.629999,14.00,14.559999,59630200,0.947283
2002-10-18,14.00,14.35,13.93,14.339999,72074800,0.932969
2002-10-17,14.21,14.38,13.98,14.109999,117324200,0.918005
2002-10-16,14.86,15.130001,13.90,14.559999,76906200,0.947283
2002-10-15,15.22,15.25,14.779999,15.16,101379600,0.986319
2002-10-14,14.549999,14.980001,14.44,14.769999,48601000,0.960945
2002-10-11,14.250001,14.779999,14.100001,14.51,73669400,0.94403
2002-10-10,13.63,14.22,13.58,14.109999,80393600,0.918005
2002-10-09,13.54,13.85,13.41,13.59,89171600,0.884174
2002-10-08,13.90,13.96,13.36,13.68,113411200,0.890029
2002-10-07,13.97,14.21,13.76,13.77,61174400,0.895885
2002-10-04,14.36,14.400001,13.99,14.030001,47706400,0.912801
2002-10-03,14.180001,14.60,14.06,14.30,54474000,0.930367
2002-10-02,14.329999,14.629999,14.100001,14.170001,57337000,0.921909
2002-10-01,14.59,14.60,14.00,14.51,85605800,0.94403
2002-09-30,14.400001,14.57,14.14,14.50,59424400,0.943379
2002-09-27,14.49,14.849999,14.479999,14.72,51538200,0.957692
2002-09-26,15.10,15.190001,14.549999,14.699999,52161200,0.956391
2002-09-25,14.690001,15.17,14.65,14.93,63670600,0.971355
2002-09-24,14.400001,14.82,14.400001,14.64,62665400,0.952488
2002-09-23,14.760001,14.96,14.45,14.849999,65927400,0.96615
2002-09-20,14.619999,14.94,14.52,14.87,88197200,0.967452
2002-09-19,14.75,14.80,14.479999,14.58,51486400,0.948584
2002-09-18,14.690001,15.09,14.52,15.02,82160400,0.977211
2002-09-17,14.57,15.03,14.57,14.80,106999200,0.962897
2002-09-16,14.14,14.610001,14.119999,14.50,71660400,0.943379
2002-09-13,14.13,14.339999,14.049999,14.170001,70737800,0.921909
2002-09-12,14.20,14.51,14.119999,14.14,67457600,0.919957
2002-09-11,14.339999,14.60,14.15,14.29,50603000,0.929716
2002-09-10,14.409999,14.49,14.119999,14.329999,62367200,0.932319
2002-09-09,14.28,14.53,14.15,14.37,39561200,0.934921
2002-09-06,14.51,14.65,14.23,14.38,45397800,0.935572
2002-09-05,14.22,14.36,14.049999,14.180001,56544600,0.92256
2002-09-04,14.20,14.779999,14.170001,14.479999,105165200,0.942078
2002-09-03,14.49,14.549999,14.049999,14.049999,69234200,0.914102
2002-08-30,14.73,15.139999,14.58,14.75,48379800,0.959644
2002-08-29,14.65,15.08,14.51,14.699999,41042400,0.956391
2002-08-28,14.80,15.120001,14.65,14.699999,61993400,0.956391
2002-08-27,15.710001,15.74,14.71,14.849999,65557800,0.96615
2002-08-26,15.95,15.95,15.16,15.53,47492200,1.010392
2002-08-23,15.90,15.930001,15.45,15.73,40811400,1.023404
2002-08-22,16.20,16.25,15.66,15.97,64577800,1.039018
2002-08-21,16.009999,16.24,15.45,16.12,50607200,1.048777
2002-08-20,15.97,16.089999,15.53,15.91,46656400,1.035115
