Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,7.47,7.57,7.45,7.51,33603900,6.249381
2006-12-28,7.64,7.64,7.47,7.50,30125500,6.241059
2006-12-27,7.60,7.65,7.52,7.58,45436700,6.30763
2006-12-26,7.45,7.57,7.37,7.49,32048100,6.232738
2006-12-22,7.33,7.47,7.26,7.42,55616400,6.174488
2006-12-21,7.35,7.42,7.27,7.31,59655100,6.082952
2006-12-20,7.22,7.34,7.20,7.33,88055200,6.099595
2006-12-19,7.12,7.20,7.08,7.18,94259000,5.974774
2006-12-18,7.12,7.12,6.98,7.03,53319800,5.849953
2006-12-15,7.15,7.22,7.04,7.08,83637500,5.89156
2006-12-14,6.92,7.11,6.85,7.11,112906400,5.916524
2006-12-13,7.13,7.17,6.85,6.88,168210200,5.725132
2006-12-12,7.23,7.29,7.08,7.09,112821100,5.899881
2006-12-11,7.27,7.32,7.17,7.24,73746800,6.024702
2006-12-08,7.15,7.24,6.98,7.23,195921200,6.016381
2006-12-07,7.32,7.33,7.15,7.16,338318500,5.958131
2006-12-06,7.64,7.65,7.28,7.36,185085400,6.124559
2006-12-05,7.63,7.83,7.42,7.68,114612400,6.390844
2006-12-04,7.97,8.07,7.88,7.89,37117100,6.565594
2006-12-01,8.10,8.15,7.95,8.04,34609600,6.690415
2006-11-30,8.19,8.32,8.13,8.13,23230300,6.765308
2006-11-29,8.37,8.38,8.10,8.17,30529900,6.798594
2006-11-28,8.15,8.21,8.00,8.15,36096700,6.781951
2006-11-27,8.55,8.55,8.14,8.16,37061300,6.790272
2006-11-24,8.56,8.65,8.52,8.52,6320200,7.089844
2006-11-22,8.57,8.73,8.49,8.61,14801200,7.164736
2006-11-21,8.62,8.68,8.51,8.56,18309400,7.123129
2006-11-20,8.89,8.94,8.66,8.67,15231300,7.214664
2006-11-17,8.99,9.03,8.87,8.89,17109900,7.397736
2006-11-16,9.05,9.19,8.95,9.03,26440900,7.514235
2006-11-15,8.79,9.03,8.78,9.00,25242400,7.489271
2006-11-14,8.90,8.94,8.68,8.80,26417300,7.322843
2006-11-13,8.60,8.88,8.52,8.87,17898200,7.381093
2006-11-10,8.62,8.64,8.54,8.58,6769800,7.139772
2006-11-09,8.64,8.67,8.55,8.56,9071200,7.123129
2006-11-08,8.73,8.79,8.59,8.63,17647800,7.181379
2006-11-07,8.73,8.79,8.60,8.73,18598700,7.264592
2006-11-06,8.44,8.69,8.44,8.66,16184900,7.206343
2006-11-03,8.58,8.58,8.37,8.38,12731500,6.973344
2006-11-02,8.52,8.58,8.28,8.56,22422800,7.123129
2006-11-01,8.33,8.52,8.32,8.52,25117300,7.089844
2006-10-31,8.30,8.45,8.15,8.28,14415800,6.890129
2006-10-30,8.30,8.30,8.08,8.25,19591000,6.865165
2006-10-27,8.49,8.49,8.27,8.29,18625800,6.898451
2006-10-26,8.59,8.67,8.45,8.48,27478400,7.056557
2006-10-25,8.37,8.65,8.32,8.49,42475400,7.064879
2006-10-24,8.02,8.31,7.95,8.30,38016400,6.906772
2006-10-23,7.86,8.03,7.81,7.90,36182700,6.573916
2006-10-20,8.07,8.07,7.93,8.01,25992400,6.665451
2006-10-19,8.01,8.07,7.97,8.03,12267000,6.682094
2006-10-18,8.05,8.15,8.02,8.05,22351400,6.698737
2006-10-17,7.99,8.03,7.85,8.03,28731500,6.682094
2006-10-16,8.17,8.18,8.08,8.08,12926900,6.723701
2006-10-13,8.23,8.24,8.13,8.17,19911000,6.798594
2006-10-12,8.30,8.33,8.17,8.23,17642100,6.848522
2006-10-11,8.17,8.34,8.11,8.27,25569200,6.881808
2006-10-10,8.23,8.29,8.11,8.19,23249100,6.815236
2006-10-09,8.30,8.31,8.17,8.19,16431800,6.815236
2006-10-06,8.34,8.43,8.26,8.31,29038600,6.915094
2006-10-05,8.48,8.52,8.26,8.33,26793500,6.931736
2006-10-04,8.12,8.60,8.11,8.56,56424800,7.123129
2006-10-03,8.16,8.35,8.08,8.23,33257600,6.848522
2006-10-02,8.10,8.22,8.05,8.13,15517500,6.765308
2006-09-29,8.25,8.25,8.04,8.09,29355200,6.732023
2006-09-28,8.08,8.24,8.04,8.16,33640200,6.790272
2006-09-27,8.50,8.52,7.97,8.00,62459900,6.65713
2006-09-26,8.21,8.41,8.16,8.41,33002600,6.998308
2006-09-25,8.00,8.21,7.97,8.15,32800600,6.781951
2006-09-22,7.81,8.01,7.80,8.00,32020300,6.65713
2006-09-21,7.82,7.95,7.73,7.76,27079000,6.457416
2006-09-20,7.71,7.83,7.65,7.75,30865500,6.449094
2006-09-19,7.90,7.92,7.63,7.66,45593100,6.374202
2006-09-18,7.97,8.00,7.61,7.82,72880800,6.507344
2006-09-15,8.48,8.49,7.75,8.02,190628800,6.673773
2006-09-14,8.97,9.20,8.75,9.09,65475000,7.564164
2006-09-13,9.21,9.48,9.13,9.19,70973300,7.647377
