Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,0.285,0.30,0.27,0.29,33100,0.29
2011-12-29,0.27,0.27,0.27,0.27,6000,0.27
2011-12-28,0.26,0.26,0.26,0.26,6500,0.26
2011-12-27,0.245,0.245,0.245,0.245,000,0.245
2011-12-26,0.245,0.245,0.245,0.245,000,0.245
2011-12-23,0.245,0.245,0.245,0.245,000,0.245
2011-12-22,0.245,0.245,0.245,0.245,000,0.245
2011-12-21,0.24,0.245,0.21,0.245,11900,0.245
2011-12-20,0.275,0.275,0.275,0.275,000,0.275
2011-12-19,0.275,0.275,0.275,0.275,000,0.275
2011-12-16,0.25,0.275,0.25,0.275,10100,0.275
2011-12-15,0.25,0.26,0.25,0.26,11400,0.26
2011-12-14,0.27,0.27,0.21,0.27,24500,0.27
2011-12-13,0.27,0.27,0.27,0.27,000,0.27
2011-12-12,0.27,0.27,0.27,0.27,000,0.27
2011-12-09,0.265,0.275,0.26,0.27,48000,0.27
2011-12-08,0.265,0.275,0.26,0.275,60400,0.275
2011-12-07,0.275,0.275,0.275,0.275,13500,0.275
2011-12-06,0.285,0.29,0.275,0.275,38000,0.275
2011-12-05,0.30,0.30,0.285,0.285,83500,0.285
2011-12-02,0.305,0.305,0.305,0.305,9000,0.305
2011-12-01,0.295,0.34,0.295,0.315,8500,0.315
2011-11-30,0.35,0.35,0.28,0.33,121100,0.33
2011-11-29,0.34,0.34,0.31,0.33,13000,0.33
2011-11-28,0.35,0.35,0.35,0.35,1000,0.35
2011-11-25,0.36,0.36,0.36,0.36,000,0.36
2011-11-24,0.36,0.36,0.36,0.36,000,0.36
2011-11-23,0.36,0.36,0.36,0.36,000,0.36
2011-11-22,0.36,0.36,0.36,0.36,5000,0.36
2011-11-21,0.36,0.36,0.34,0.36,14100,0.36
2011-11-18,0.36,0.36,0.36,0.36,000,0.36
2011-11-17,0.36,0.36,0.36,0.36,500,0.36
2011-11-16,0.36,0.36,0.36,0.36,1000,0.36
2011-11-15,0.36,0.36,0.36,0.36,5000,0.36
2011-11-14,0.355,0.36,0.34,0.36,26200,0.36
2011-11-11,0.305,0.36,0.305,0.36,29700,0.36
2011-11-10,0.30,0.30,0.30,0.30,500,0.30
2011-11-09,0.30,0.30,0.30,0.30,1700,0.30
2011-11-08,0.33,0.37,0.33,0.36,79300,0.36
2011-11-07,0.325,0.33,0.325,0.33,15000,0.33
2011-11-04,0.29,0.33,0.29,0.325,26000,0.325
2011-11-03,0.27,0.27,0.27,0.27,2000,0.27
