Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,4.78,4.91,4.77,4.82,18602700,3.880768
2011-12-29,4.76,4.88,4.73,4.77,28688700,3.840511
2011-12-28,4.80,4.80,4.67,4.74,22659400,3.816356
2011-12-27,4.86,4.88,4.76,4.78,11188300,3.848562
2011-12-23,4.92,4.94,4.86,4.92,10989000,3.961282
2011-12-22,4.85,4.97,4.82,4.95,16658800,3.985436
2011-12-21,4.81,4.85,4.70,4.85,26476300,3.904922
2011-12-20,4.75,4.83,4.69,4.80,44274800,3.864665
2011-12-19,4.71,4.73,4.46,4.51,37176800,3.631175
2011-12-16,4.83,4.85,4.62,4.68,31942300,3.768048
2011-12-15,4.98,5.01,4.85,4.86,22652900,3.912973
2011-12-14,5.07,5.16,4.96,5.02,24617300,4.041795
2011-12-13,5.08,5.18,4.96,4.99,26369700,4.017641
2011-12-12,5.02,5.03,4.90,4.96,21990300,3.993487
2011-12-09,5.00,5.19,4.99,5.16,26146300,4.154515
2011-12-08,5.09,5.12,4.98,5.00,44396200,4.025693
2011-12-07,5.27,5.34,5.20,5.33,25669800,4.291388
2011-12-06,5.35,5.44,5.32,5.41,19985300,4.355799
2011-12-05,5.52,5.53,5.32,5.37,25363900,4.323594
2011-12-02,5.69,5.70,5.52,5.62,23438900,4.524878
2011-12-01,5.80,5.82,5.57,5.67,23140500,4.565136
2011-11-30,5.69,5.80,5.65,5.79,28039000,4.661752
2011-11-29,5.60,5.63,5.42,5.50,34221100,4.428262
2011-11-28,5.69,5.69,5.55,5.61,29095500,4.516827
2011-11-25,5.36,5.46,5.27,5.29,11031900,4.259183
2011-11-23,5.59,5.63,5.39,5.47,38136600,4.404108
2011-11-22,5.81,5.87,5.53,5.56,44943400,4.47657
2011-11-21,6.31,6.33,6.00,6.02,34709400,4.846934
2011-11-18,6.55,6.58,6.45,6.51,16351700,5.241452
2011-11-17,6.60,6.69,6.47,6.50,30794300,5.2334
2011-11-16,6.59,6.69,6.55,6.56,22366000,5.281709
