Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,19.120001,19.200001,18.889999,18.889999,10738000,18.790278
2006-12-28,18.99,19.219999,18.889999,19.16,9691200,19.058853
2006-12-27,18.610001,19.200001,18.610001,19.09,8337600,18.989223
2006-12-26,18.700001,18.969999,18.67,18.90,8129000,18.800225
2006-12-22,18.90,18.90,18.73,18.77,10954100,18.670912
2006-12-21,19.02,19.16,18.90,18.92,20552000,18.82012
2006-12-20,19.00,19.129999,18.879999,19.08,21374200,18.979275
2006-12-19,19.059999,19.24,18.959999,19.040001,25482600,18.939488
2006-12-18,19.379999,19.42,19.120001,19.24,25279700,19.138431
2006-12-15,19.360001,19.559999,19.23,19.51,28827600,19.407006
2006-12-14,19.16,19.559999,19.15,19.209999,21086600,19.108588
2006-12-13,19.90,19.90,19.459999,19.549999,14106100,19.446794
2006-12-12,19.51,19.67,19.34,19.469999,18704100,19.367216
2006-12-11,19.25,19.610001,19.15,19.43,23419900,19.327428
2006-12-08,19.52,19.530001,19.049999,19.25,28847800,19.148378
2006-12-07,19.75,19.799999,19.59,19.620001,14642900,19.516426
2006-12-06,19.40,19.709999,19.370001,19.639999,19057400,19.536319
2006-12-05,19.83,19.92,19.440001,19.50,25308000,19.372191
2006-12-04,19.530001,19.799999,19.42,19.73,16415500,19.600683
2006-12-01,19.50,19.60,19.309999,19.40,14961500,19.272846
2006-11-30,19.60,19.690001,19.35,19.51,20405800,19.382126
2006-11-29,19.549999,19.85,19.50,19.67,19615000,19.541077
2006-11-28,19.60,19.65,19.219999,19.549999,19361700,19.421863
2006-11-27,19.92,19.969999,19.709999,19.76,16223600,19.630487
2006-11-24,19.93,20.25,19.90,19.93,5526900,19.799373
2006-11-22,19.98,20.200001,19.959999,20.059999,14704300,19.92852
2006-11-21,20.10,20.280001,19.950001,19.98,10636000,19.849045
2006-11-20,20.059999,20.17,19.85,20.10,14018500,19.968259
2006-11-17,20.049999,20.280001,19.93,20.26,11294300,20.12721
2006-11-16,20.09,20.299999,19.959999,20.15,13147300,20.01793
2006-11-15,20.299999,20.42,19.84,19.93,20652800,19.799373
2006-11-14,20.40,20.52,19.93,20.440001,27303200,20.306031
2006-11-13,20.440001,20.59,20.42,20.50,26313200,20.365637
2006-11-10,19.90,20.629999,19.780001,20.370001,31517100,20.23649
2006-11-09,19.92,20.16,19.860001,20.139999,26719900,20.007996
2006-11-08,19.51,19.940001,19.33,19.889999,23490700,19.759634
2006-11-07,19.290001,19.68,19.17,19.540001,22797500,19.41193
2006-11-06,19.040001,19.299999,18.92,19.049999,13554100,18.92514
2006-11-03,18.879999,19.23,18.620001,19.15,16462900,19.024485
2006-11-02,18.860001,19.18,18.799999,18.860001,18942000,18.736386
2006-11-01,18.68,18.860001,18.57,18.860001,16871200,18.736386
2006-10-31,18.99,19.030001,18.530001,18.690001,15156500,18.567501
2006-10-30,19.110001,19.16,18.77,18.889999,22324900,18.766189
2006-10-27,18.98,19.299999,18.75,19.17,34466000,19.044354
2006-10-26,18.700001,19.09,18.440001,18.90,71383700,18.776123
2006-10-25,17.16,17.860001,17.08,17.719999,37808300,17.603857
2006-10-24,17.049999,17.10,16.950001,17.07,20701800,16.958118
2006-10-23,17.110001,17.25,17.02,17.09,19589100,16.977987
2006-10-20,17.059999,17.280001,16.93,17.209999,18609300,17.097199
2006-10-19,17.00,17.26,16.75,16.969999,25945500,16.858773
2006-10-18,17.219999,17.42,17.07,17.25,22987800,17.136938
2006-10-17,17.440001,17.440001,17.200001,17.219999,14896800,17.107134
2006-10-16,17.90,17.90,17.42,17.469999,13446000,17.355496
2006-10-13,17.85,17.90,17.629999,17.790001,12617500,17.6734
2006-10-12,17.65,17.959999,17.42,17.889999,22135200,17.772743
2006-10-11,17.90,17.98,17.459999,17.50,30920600,17.3853
2006-10-10,17.549999,18.25,17.549999,18.040001,32266100,17.921761
2006-10-09,18.24,18.43,17.959999,18.08,19545100,17.961498
2006-10-06,17.780001,18.51,17.58,18.48,36544700,18.358876
2006-10-05,17.440001,18.27,17.25,17.860001,49714900,17.742941
2006-10-04,17.00,17.50,17.00,17.35,18193100,17.236283
2006-10-03,16.90,17.07,16.85,16.969999,15225100,16.858773
2006-10-02,17.200001,17.290001,16.799999,16.870001,23142000,16.75943
2006-09-29,16.74,17.26,16.67,17.15,25262400,17.037593
2006-09-28,16.90,16.91,16.58,16.690001,19947400,16.580609
2006-09-27,16.959999,17.059999,16.780001,16.82,21779600,16.709756
2006-09-26,17.27,17.309999,16.98,17.049999,22008600,16.938248
2006-09-25,17.24,17.450001,17.08,17.200001,18779100,17.087267
2006-09-22,17.15,17.17,17.01,17.139999,11998200,17.027659
2006-09-21,17.440001,17.50,17.09,17.139999,18229800,17.027659
2006-09-20,17.40,17.549999,17.379999,17.48,15362900,17.36543
2006-09-19,17.49,17.59,17.280001,17.34,19067300,17.226348
2006-09-18,17.280001,17.43,17.190001,17.40,12300600,17.285955
2006-09-15,17.09,17.41,17.00,17.360001,20051400,17.246218
2006-09-14,16.90,17.10,16.860001,17.030001,13472400,16.918381
2006-09-13,16.73,17.00,16.709999,16.92,21406700,16.809101
2006-09-12,16.52,16.809999,16.52,16.73,17287900,16.620346
2006-09-11,16.25,16.549999,16.25,16.48,13429400,16.371985
2006-09-08,16.68,16.74,16.43,16.51,10073200,16.401789
2006-09-07,16.57,16.639999,16.370001,16.58,17588200,16.47133
2006-09-06,17.049999,17.16,16.549999,16.639999,25604900,16.530936
2006-09-05,17.23,17.24,16.90,17.190001,15797700,17.052496
2006-09-01,17.00,17.26,16.92,17.09,15520700,16.953295
2006-08-31,16.799999,17.01,16.75,16.92,15731200,16.784655
2006-08-30,16.790001,16.969999,16.77,16.84,19230600,16.705295
2006-08-29,16.50,16.76,16.50,16.719999,20500200,16.586254
2006-08-28,16.32,16.559999,16.290001,16.49,17368400,16.358094
2006-08-25,16.40,16.41,16.200001,16.290001,17915800,16.159695
2006-08-24,16.50,16.59,16.309999,16.370001,28101500,16.239055
2006-08-23,16.02,16.450001,16.02,16.42,20096900,16.288654
2006-08-22,16.00,16.290001,15.92,16.08,31828200,15.951374
2006-08-21,16.41,16.450001,16.200001,16.209999,17652100,16.080333
2006-08-18,16.35,16.51,16.26,16.41,22380500,16.278734
2006-08-17,16.389999,16.42,16.24,16.32,33449900,16.189454
2006-08-16,16.35,16.58,16.280001,16.389999,34048900,16.258894
2006-08-15,16.41,16.559999,16.23,16.290001,30949000,16.159695
2006-08-14,16.60,16.73,16.42,16.459999,28125900,16.328334
2006-08-11,16.77,16.950001,16.59,16.620001,22947900,16.487055
2006-08-10,16.700001,16.98,16.67,16.77,22912200,16.635855
2006-08-09,16.85,17.200001,16.75,16.90,31881600,16.764814
2006-08-08,16.809999,16.98,16.43,16.629999,34790400,16.496974
2006-08-07,17.540001,17.60,16.889999,16.940001,30796300,16.804495
2006-08-04,17.450001,17.629999,17.24,17.540001,49550100,17.399696
2006-08-03,17.74,17.76,16.879999,17.75,128766900,17.608016
2006-08-02,19.75,20.15,19.75,20.129999,15623800,19.968977
2006-08-01,19.65,19.709999,19.34,19.52,21321700,19.363858
2006-07-31,20.360001,20.379999,19.799999,19.799999,15449000,19.641617
2006-07-28,20.440001,20.799999,20.34,20.52,16606800,20.355858
2006-07-27,19.65,20.549999,19.639999,20.440001,23318200,20.276498
2006-07-26,19.469999,19.74,19.370001,19.67,9487700,19.512657
2006-07-25,19.50,19.58,19.32,19.549999,11879600,19.393616
2006-07-24,19.15,19.530001,19.15,19.450001,13607800,19.294418
2006-07-21,19.35,19.35,19.030001,19.139999,14847700,18.986896
2006-07-20,19.469999,19.530001,19.24,19.379999,8838500,19.224976
2006-07-19,19.25,19.68,19.110001,19.52,12593900,19.363858
2006-07-18,19.290001,19.51,19.049999,19.26,11122900,19.105937
2006-07-17,19.23,19.50,19.200001,19.32,12244000,19.165457
2006-07-14,19.15,19.26,18.959999,19.15,14451800,18.996816
2006-07-13,19.50,19.540001,19.139999,19.23,9944400,19.076176
2006-07-12,19.66,19.879999,19.50,19.559999,14871000,19.403537
2006-07-11,19.549999,19.77,19.33,19.75,9844400,19.592017
2006-07-10,19.74,19.85,19.42,19.65,12553200,19.492817
2006-07-07,19.950001,20.00,19.530001,19.60,12657700,19.443218
2006-07-06,19.91,19.969999,19.690001,19.84,10994700,19.681298
2006-07-05,19.799999,19.940001,19.75,19.889999,14421400,19.730897
2006-07-03,19.959999,20.139999,19.860001,20.040001,4893900,19.879699
2006-06-30,19.98,20.26,19.709999,19.99,15760700,19.830097
2006-06-29,19.68,20.00,19.530001,19.93,14688600,19.770578
2006-06-28,19.719999,19.75,19.52,19.719999,10339700,19.562257
2006-06-27,19.469999,19.66,19.389999,19.549999,15536100,19.393616
2006-06-26,19.60,19.700001,19.370001,19.49,19903900,19.334097
2006-06-23,19.65,19.77,19.48,19.620001,23181300,19.463058
2006-06-22,20.049999,20.18,19.629999,19.67,30103900,19.512657
2006-06-21,20.299999,20.60,19.860001,20.209999,21460800,20.048337
2006-06-20,20.00,20.34,19.33,20.26,30186100,20.097938
2006-06-19,20.530001,20.629999,19.969999,20.07,14518200,19.909457
2006-06-16,20.50,20.66,20.18,20.59,13922200,20.425298
2006-06-15,20.129999,20.700001,20.07,20.65,16206200,20.484818
2006-06-14,20.50,20.790001,20.030001,20.18,16636700,20.018578
2006-06-13,20.66,21.16,20.450001,20.48,12693900,20.316178
2006-06-12,21.129999,21.27,20.73,20.799999,9616700,20.633618
2006-06-09,21.08,21.469999,20.90,21.16,13234900,20.990738
2006-06-08,21.389999,21.629999,20.73,21.08,14553900,20.911378
2006-06-07,21.639999,21.709999,21.33,21.389999,9825900,21.218898
2006-06-06,21.129999,21.719999,20.889999,21.719999,18129800,21.546258
2006-06-05,21.40,21.459999,21.049999,21.059999,10563400,20.891538
2006-06-02,21.389999,21.700001,21.209999,21.459999,9233100,21.288338
2006-06-01,21.34,21.57,21.139999,21.450001,12581700,21.27842
2006-05-31,21.17,21.27,20.969999,21.209999,13152000,21.040338
2006-05-30,21.40,21.459999,20.950001,21.01,17897800,20.841939
2006-05-26,21.73,21.82,21.540001,21.58,10843900,21.407379
2006-05-25,21.92,21.93,21.469999,21.57,17697100,21.397459
2006-05-24,22.23,22.309999,21.57,21.860001,14972300,21.68514
2006-05-23,22.41,22.58,22.049999,22.17,18158000,21.99266
2006-05-22,22.60,22.82,22.00,22.16,13255600,21.982739
2006-05-19,23.02,23.139999,22.50,22.73,17878100,22.548179
2006-05-18,22.27,23.209999,22.09,22.92,21696300,22.73666
2006-05-17,24.549999,24.76,24.33,24.43,13066200,21.982739
2006-05-16,24.700001,24.809999,24.57,24.74,6934500,22.261684
2006-05-15,24.360001,24.790001,24.299999,24.68,6891300,22.207695
2006-05-12,24.67,24.700001,24.26,24.469999,11838700,21.996236
